 time            v(d_p)          v(d_n)          v(x1.gclk_b)    v(mode)         v(en)          
 2.17500000e-10  5.94816672e-08  1.19999995e+00 -4.07631468e-07  0.00000000e+00  0.00000000e+00 
 2.22500000e-10  5.94809715e-08  1.19999995e+00 -3.06401084e-07  0.00000000e+00  0.00000000e+00 
 2.27500000e-10  5.94817019e-08  1.19999995e+00 -2.00529197e-07  0.00000000e+00  0.00000000e+00 
 2.32500000e-10  5.94830064e-08  1.19999995e+00 -1.08357388e-07  0.00000000e+00  0.00000000e+00 
 2.37500000e-10  5.94838926e-08  1.19999995e+00 -3.74107577e-08  0.00000000e+00  0.00000000e+00 
 2.42500000e-10  5.94843202e-08  1.19999995e+00  1.41612892e-08  0.00000000e+00  0.00000000e+00 
 2.47500000e-10  5.94842707e-08  1.19999995e+00  4.94296385e-08  0.00000000e+00  0.00000000e+00 
 2.52500000e-10  5.94840571e-08  1.19999995e+00  7.28777969e-08  0.00000000e+00  0.00000000e+00 
 2.57500000e-10  5.94837649e-08  1.19999995e+00  8.79603831e-08  0.00000000e+00  0.00000000e+00 
 2.62500000e-10  5.94835518e-08  1.19999995e+00  9.73679579e-08  0.00000000e+00  0.00000000e+00 
 2.67500000e-10  5.94834091e-08  1.19999995e+00  1.03296185e-07  0.00000000e+00  0.00000000e+00 
 2.72500000e-10  5.94833522e-08  1.19999995e+00  1.06722455e-07  0.00000000e+00  0.00000000e+00 
 2.77500000e-10  5.94833422e-08  1.19999995e+00  1.09007252e-07  0.00000000e+00  0.00000000e+00 
 2.82500000e-10  5.94833679e-08  1.19999995e+00  1.10129578e-07  0.00000000e+00  0.00000000e+00 
 2.87500000e-10  5.94834010e-08  1.19999995e+00  1.11102236e-07  0.00000000e+00  0.00000000e+00 
 2.92500000e-10  5.94834345e-08  1.19999995e+00  1.11397232e-07  0.00000000e+00  0.00000000e+00 
 2.97500000e-10  5.94834678e-08  1.19999995e+00  1.11938452e-07  0.00000000e+00  0.00000000e+00 
 3.02500000e-10  5.94834899e-08  1.19999995e+00  1.11945621e-07  0.00000000e+00  0.00000000e+00 
 3.07500000e-10  5.94835076e-08  1.19999995e+00  1.12355723e-07  0.00000000e+00  0.00000000e+00 
 3.12500000e-10  5.94835123e-08  1.19999995e+00  1.12256443e-07  0.00000000e+00  0.00000000e+00 
 3.17500000e-10  5.94835209e-08  1.19999995e+00  1.12617081e-07  0.00000000e+00  0.00000000e+00 
 3.22500000e-10  5.94835241e-08  1.19999995e+00  1.12481147e-07  0.00000000e+00  0.00000000e+00 
 3.27500000e-10  5.94835285e-08  1.19999995e+00  1.12840833e-07  0.00000000e+00  0.00000000e+00 
