corner,vdd_v,temp_c,vctrl_v,up_a,down_a,both_a,mismatch_pct
fs,1.20,-40,0.70,2.649998e-06,-2.7709e-06,-1.20905e-07,4.4606
fs,1.20,-40,0.80,2.605549e-06,-2.79784e-06,-1.92287e-07,7.1174
fs,1.20,-40,0.90,2.54549e-06,-2.81563e-06,-2.70141e-07,10.0777
fs,1.20,27,0.50,2.851367e-06,-2.56976e-06,2.816579e-07,10.3892
fs,1.20,27,0.60,2.841375e-06,-2.77391e-06,6.753097e-08,2.4029
fs,1.20,27,0.70,2.816002e-06,-2.91943e-06,-1.03355e-07,3.6066
fs,1.20,27,0.80,2.778122e-06,-2.96625e-06,-1.88058e-07,6.5500
fs,1.20,27,0.90,2.727397e-06,-2.98814e-06,-2.60658e-07,9.1240
fs,1.20,125,0.50,3.125693e-06,-2.7524e-06,3.756083e-07,12.7012
fs,1.20,125,0.60,3.110977e-06,-2.9547e-06,1.590121e-07,5.1528
fs,1.20,125,0.70,3.086276e-06,-3.12359e-06,-3.41864e-08,1.2018
fs,1.20,125,0.80,3.053073e-06,-3.215e-06,-1.58408e-07,5.1667
fs,1.20,125,0.90,3.008133e-06,-3.2488e-06,-2.36773e-07,7.6928
fs,1.32,-40,0.50,2.932707e-06,-2.46259e-06,4.701228e-07,17.4269
fs,1.32,-40,0.60,2.926788e-06,-2.67898e-06,2.478051e-07,8.8412
fs,1.32,-40,0.70,2.906136e-06,-2.87183e-06,3.430398e-08,1.1875
fs,1.32,-40,0.80,2.868195e-06,-2.98924e-06,-1.21048e-07,4.1330
fs,1.32,-40,0.90,2.818637e-06,-3.01789e-06,-1.99252e-07,6.8278
fs,1.32,27,0.50,3.086361e-06,-2.5748e-06,5.116172e-07,18.0727
fs,1.32,27,0.60,3.078591e-06,-2.78964e-06,2.890079e-07,9.8480
fs,1.32,27,0.70,3.057444e-06,-2.98518e-06,7.233711e-08,2.3918
fs,1.32,27,0.80,3.025107e-06,-3.12943e-06,-1.04244e-07,3.3901
fs,1.32,27,0.90,2.983907e-06,-3.17916e-06,-1.95177e-07,6.3362
fs,1.32,125,0.50,3.3409e-06,-2.75638e-06,5.867687e-07,19.1731
fs,1.32,125,0.60,3.328815e-06,-2.96495e-06,3.665255e-07,11.5627
fs,1.32,125,0.70,3.307577e-06,-3.15758e-06,1.530616e-07,4.6402
fs,1.32,125,0.80,3.27957e-06,-3.32044e-06,-3.74084e-08,1.2385
fs,1.32,125,0.90,3.244601e-06,-3.41292e-06,-1.6448e-07,5.0565
sf,1.08,-40,0.50,2.463295e-06,-2.26681e-06,1.964817e-07,8.3078
