corner,vdd_v,temp_c,vctrl_v,vbp_v,freq_hz,current_a,power_w,energy_j,vmin_v,vmax_v
tt,1.20,-40,0.9,0.240756,3.88802488e+09,8.16785e-05,9.80142e-05,2.52092522e-14,-0.0242658,1.22773
tt,1.20,-40,0.95,0.204915,4.17955362e+09,8.87338e-05,0.00010648056,2.54765388e-14,-0.0247028,1.21733
tt,1.20,27,0.35,8.16740e-01,FAIL,FAIL,FAIL,FAIL,6.97198e-05,1.17066e+00
tt,1.20,27,0.4,7.67143e-01,FAIL,FAIL,FAIL,FAIL,1.19870e+00,1.20000e+00
tt,1.20,27,0.45,7.13699e-01,FAIL,FAIL,FAIL,FAIL,-3.70709e-07,1.20279e+00
tt,1.20,27,0.5,0.656959,321529968,7.52888e-06,9.034656e-06,2.80989547e-14,-0.00338193,1.20613
tt,1.20,27,0.55,0.597875,701011560,1.43701e-05,1.724412e-05,2.45989096e-14,-0.00584038,1.21017
tt,1.20,27,0.6,0.537776,1.18757793e+09,2.28183e-05,2.738196e-05,2.30569794e-14,-0.00871958,1.21456
tt,1.20,27,0.65,0.478478,1.70957705e+09,3.34902e-05,4.018824e-05,2.35077091e-14,-0.0116656,1.2192
tt,1.20,27,0.7,0.420301,2.23428737e+09,4.38763e-05,5.265156e-05,2.35652587e-14,-0.0143625,1.22366
tt,1.20,27,0.75,0.364475,2.73238975e+09,5.54305e-05,6.65166e-05,2.43437453e-14,-0.0164868,1.22686
tt,1.20,27,0.8,0.312257,3.17258883e+09,6.41649e-05,7.699788e-05,2.42697318e-14,-0.0179301,1.22719
tt,1.20,27,0.85,0.265859,3.53744384e+09,7.26468e-05,8.717616e-05,2.46438287e-14,-0.0188202,1.22282
tt,1.20,27,0.9,0.227138,3.82584743e+09,8.079e-05,9.6948e-05,2.53402682e-14,-0.0193363,1.2127
tt,1.20,27,0.95,0.196495,4.04727214e+09,8.54739e-05,0.00010256868,2.53426695e-14,-0.0196363,1.19771
tt,1.20,125,0.35,8.06792e-01,FAIL,FAIL,FAIL,FAIL,1.19999e+00,1.20038e+00
tt,1.20,125,0.4,7.49632e-01,FAIL,FAIL,FAIL,FAIL,-1.50624e-03,1.20257e+00
tt,1.20,125,0.45,6.90653e-01,FAIL,FAIL,FAIL,FAIL,-2.86790e-03,1.20497e+00
tt,1.20,125,0.5,0.629626,727839118,1.59224e-05,1.910688e-05,2.62515156e-14,-0.00463414,1.20797
tt,1.20,125,0.55,0.567931,1.17741252e+09,2.43386e-05,2.920632e-05,2.48055117e-14,-0.00664442,1.21121
tt,1.20,125,0.6,0.507263,1.664392e+09,3.33972e-05,4.007664e-05,2.40788468e-14,-0.00864856,1.21452
tt,1.20,125,0.65,0.448352,2.14160278e+09,4.19427e-05,5.033124e-05,2.35016692e-14,-0.010437,1.21759
tt,1.20,125,0.7,0.39206,2.57851581e+09,5.21881e-05,6.262572e-05,2.42875067e-14,-0.0118632,1.21956
tt,1.20,125,0.75,0.339682,2.95840483e+09,6.05509e-05,7.266108e-05,2.45608983e-14,-0.0128829,1.21876
tt,1.20,125,0.8,0.292948,3.27385824e+09,6.7078e-05,8.04936e-05,2.45867701e-14,-0.0135615,1.21336
tt,1.20,125,0.85,0.253478,3.52683925e+09,7.28081e-05,8.736972e-05,2.47728104e-14,-0.0139938,1.20248
tt,1.20,125,0.9,0.221725,3.72522724e+09,7.8677e-05,9.44124e-05,2.53440647e-14,-0.014266,1.18708
tt,1.20,125,0.95,0.196823,3.87972842e+09,8.12574e-05,9.750888e-05,2.51329138e-14,-0.0144417,1.16888
tt,1.32,-40,0.35,1.02517e+00,FAIL,FAIL,FAIL,FAIL,1.19884e-03,1.03518e-02
tt,1.32,-40,0.4,8.93880e-01,FAIL,FAIL,FAIL,FAIL,-6.91821e-06,1.18257e-02
tt,1.32,-40,0.45,8.40188e-01,FAIL,FAIL,FAIL,FAIL,1.31905e+00,1.32000e+00
tt,1.32,-40,0.5,7.87044e-01,FAIL,FAIL,FAIL,FAIL,-1.78616e-03,1.32317e+00
tt,1.32,-40,0.55,7.31030e-01,FAIL,FAIL,FAIL,FAIL,-3.93345e-03,1.32715e+00
tt,1.32,-40,0.6,0.672659,858575452,1.84172e-05,2.4310704e-05,2.83151632e-14,-0.00657317,1.33157
tt,1.32,-40,0.65,0.613566,1.46479368e+09,2.99791e-05,3.9572412e-05,2.70156899e-14,-0.00955097,1.33615
tt,1.32,-40,0.7,0.554389,2.10606124e+09,4.4624e-05,5.890368e-05,2.79686453e-14,-0.0125319,1.34085
tt,1.32,-40,0.75,0.495918,2.74273176e+09,5.94619e-05,7.8489708e-05,2.86173475e-14,-0.0152912,1.34542
tt,1.32,-40,0.8,0.438763,3.35232987e+09,7.35754e-05,9.7119528e-05,2.89707552e-14,-0.0175708,1.34908
tt,1.32,-40,0.85,0.3839,3.90670782e+09,8.61769e-05,0.000113753508,2.91174854e-14,-0.0192089,1.35054
tt,1.32,-40,0.9,0.332896,4.38596491e+09,9.91772e-05,0.000130913904,2.98483701e-14,-0.0201763,1.34815
tt,1.32,-40,0.95,0.287422,4.78194338e+09,0.000109279,0.00014424828,3.01652003e-14,-0.0209188,1.3408
tt,1.32,27,0.35,9.33130e-01,FAIL,FAIL,FAIL,FAIL,1.65827e-03,1.31864e+00
tt,1.32,27,0.4,8.84310e-01,FAIL,FAIL,FAIL,FAIL,1.31930e+00,1.32000e+00
tt,1.32,27,0.45,8.29858e-01,FAIL,FAIL,FAIL,FAIL,4.71782e-07,1.32220e+00
tt,1.32,27,0.5,0.771473,290699365,9.19141e-06,1.21326612e-05,4.17361119e-14,-0.00279092,1.32512
tt,1.32,27,0.55,0.7107,651262146,1.68599e-05,2.2255068e-05,3.41722118e-14,-0.00482424,1.32889
tt,1.32,27,0.6,0.648946,1.17920357e+09,2.61318e-05,3.4493976e-05,2.92519265e-14,-0.00719657,1.33284
tt,1.32,27,0.65,0.587629,1.77939109e+09,3.69605e-05,4.878786e-05,2.74182894e-14,-0.00965447,1.33685
tt,1.32,27,0.7,0.527483,2.38327892e+09,5.12959e-05,6.7710588e-05,2.84106856e-14,-0.0119459,1.34077
tt,1.32,27,0.75,0.469155,2.9577923e+09,6.44127e-05,8.5024764e-05,2.87460225e-14,-0.0138883,1.34414
tt,1.32,27,0.8,0.413403,3.48080337e+09,7.6663e-05,0.00010119516,2.90723575e-14,-0.0153702,1.34578
tt,1.32,27,0.85,0.361326,3.93545848e+09,8.78607e-05,0.000115976124,2.94695331e-14,-0.0163952,1.34377
tt,1.32,27,0.9,0.314431,4.3157395e+09,9.76065e-05,0.00012884058,2.98536508e-14,-0.0170642,1.33631
tt,1.32,27,0.95,0.273977,4.62384982e+09,0.000105274,0.00013896168,3.00532425e-14,-0.0174876,1.32306
tt,1.32,125,0.35,9.22925e-01,FAIL,FAIL,FAIL,FAIL,1.31999e+00,1.32010e+00
tt,1.32,125,0.4,8.64766e-01,FAIL,FAIL,FAIL,FAIL,-1.21978e-03,1.32209e+00
tt,1.32,125,0.45,0.804423,349123003,1.22642e-05,1.6188744e-05,4.63697432e-14,-0.00242187,1.32422
tt,1.32,125,0.5,0.741535,670479460,1.91487e-05,2.5276284e-05,3.76988193e-14,-0.00398639,1.32702
tt,1.32,125,0.55,0.678192,1.12898673e+09,2.61063e-05,3.4460316e-05,3.05232249e-14,-0.00581365,1.33016
tt,1.32,125,0.6,0.615543,1.66066061e+09,3.83031e-05,5.0560092e-05,3.04457706e-14,-0.00769595,1.33331
tt,1.32,125,0.65,0.554606,2.20550936e+09,4.91664e-05,6.4899648e-05,2.94261494e-14,-0.0094345,1.33634
tt,1.32,125,0.7,0.495942,2.71835159e+09,6.10062e-05,8.0528184e-05,2.9623903e-14,-0.0108939,1.33875
tt,1.32,125,0.75,0.440069,3.17591387e+09,7.04057e-05,9.2935524e-05,2.92626084e-14,-0.012007,1.33928
tt,1.32,125,0.8,0.3882,3.56875201e+09,8.04492e-05,0.000106192944,2.97563248e-14,-0.0127992,1.33601
tt,1.32,125,0.85,0.341402,3.89681241e+09,8.76582e-05,0.000115708824,2.96931984e-14,-0.0133413,1.32728
tt,1.32,125,0.9,0.300841,4.16493128e+09,9.43444e-05,0.000124534608,2.99007594e-14,-0.0137036,1.31304
tt,1.32,125,0.95,0.266969,4.38020149e+09,0.000100603,0.00013279596,3.03173177e-14,-0.0139456,1.29466
ss,1.08,-40,0.35,8.88594e-01,FAIL,FAIL,FAIL,FAIL,6.73444e-05,1.76387e-04
ss,1.08,-40,0.4,8.86704e-01,FAIL,FAIL,FAIL,FAIL,7.34571e-05,2.44231e-04
ss,1.08,-40,0.45,8.36951e-01,FAIL,FAIL,FAIL,FAIL,4.28944e-05,2.26816e-04
ss,1.08,-40,0.5,5.80700e-01,FAIL,FAIL,FAIL,FAIL,-9.61980e-05,1.69655e-04
ss,1.08,-40,0.55,5.01010e-01,FAIL,FAIL,FAIL,FAIL,1.57135e-02,1.08002e+00
ss,1.08,-40,0.6,4.49157e-01,FAIL,FAIL,FAIL,FAIL,-1.18514e-02,1.09774e+00
ss,1.08,-40,0.65,0.395842,436744160,7.55908e-06,8.1638064e-06,1.86924226e-14,-0.0195103,1.10729
ss,1.08,-40,0.7,0.341764,763638585,1.38419e-05,1.4949252e-05,1.95763445e-14,-0.0261144,1.11551
ss,1.08,-40,0.75,0.288091,1.14982178e+09,2.03536e-05,2.1981888e-05,1.9117648e-14,-0.0312165,1.12221
ss,1.08,-40,0.8,0.236214,1.54380548e+09,2.87755e-05,3.107754e-05,2.01304765e-14,-0.0345964,1.12674
ss,1.08,-40,0.85,0.189615,1.88572506e+09,3.64967e-05,3.9416436e-05,2.0902536e-14,-0.0364949,1.12812
ss,1.08,-40,0.9,0.152223,2.14514018e+09,4.26179e-05,4.6027332e-05,2.14565614e-14,-0.0374357,1.12579
ss,1.08,-40,0.95,0.12487,2.33013328e+09,4.71365e-05,5.090742e-05,2.18474284e-14,-0.0378867,1.11867
ss,1.08,27,0.35,8.65214e-01,FAIL,FAIL,FAIL,FAIL,1.66663e-04,4.62609e-04
