time_ns,d_p,d_n,vos,vod,core_p,core_n
1.074999999999999983e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948065110000000133e-08,1.199999950000000037e+00
1.125000000000000028e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947616019999999747e-08,1.199999950000000037e+00
1.175000000000000072e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948130669999999855e-08,1.199999950000000037e+00
1.224999999999999839e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.950494770000000067e-08,1.199999950000000037e+00
1.275000000000000022e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.950398700000000048e-08,1.199999950000000037e+00
1.325000000000000067e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.946493419999999898e-08,1.199999950000000037e+00
1.374999999999999833e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.945880330000000174e-08,1.199999950000000037e+00
1.424999999999999878e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948230610000000281e-08,1.199999950000000037e+00
1.475000000000000200e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949689089999999996e-08,1.199999950000000037e+00
1.524999999999999967e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949331390000000122e-08,1.199999950000000037e+00
1.575000000000000011e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949209629999999690e-08,1.199999950000000037e+00
1.625000000000000056e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949964579999999967e-08,1.199999950000000037e+00
1.674999999999999822e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.950081129999999897e-08,1.199999950000000037e+00
1.724999999999999867e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948849999999999697e-08,1.199999950000000037e+00
1.775000000000000189e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947413799999999805e-08,1.199999950000000037e+00
1.824999999999999956e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947228310000000068e-08,1.199999950000000037e+00
1.875000000000000000e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947899099999999988e-08,1.199999950000000037e+00
1.925000000000000044e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948565339999999946e-08,1.199999950000000037e+00
1.974999999999999811e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949003259999999914e-08,1.199999950000000037e+00
2.024999999999999856e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949193579999999702e-08,1.199999950000000037e+00
2.075000000000000178e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949130439999999758e-08,1.199999950000000037e+00
2.124999999999999944e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948888469999999884e-08,1.199999950000000037e+00
2.174999999999999989e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948624709999999846e-08,1.199999950000000037e+00
2.225000000000000033e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948473600000000149e-08,1.199999950000000037e+00
2.274999999999999800e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948466399999999839e-08,1.199999950000000037e+00
2.325000000000000122e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948551009999999845e-08,1.199999950000000037e+00
2.375000000000000167e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948653650000000138e-08,1.199999950000000037e+00
2.424999999999999933e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948722419999999726e-08,1.199999950000000037e+00
2.475000000000000255e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948743720000000229e-08,1.199999950000000037e+00
